S.No,Unique Code,Name of the State,State Code,Name of the District,Name of the programme,Address of the Programme (with landmark),Type of Programme,Timing of the programme (as per government) (starting time),Timing of the programme (as per government) (Ending time),Timing of the programme (as per centre) (Starting time),Timing of the programme (as per centre) (Ending time),Type of Programme,Medium of Instruction,Age Score of the children,Number of children enrolled in grade assessed,Number of children present (marked in register) ( counting),Number of children present (head count),Incharge of the class/ grade assessed ,Name of the Administrator,Date of Administration (DD/MM/YYYY) ,Time of Administration (Starting time),Time of Administration (Ending time),Verified by,Number of Activities observed,Plan,Transition,Engagement,Organising activity,Teacher Plan,6. Group actvity,Multi-grade,Classroom language,Free Conversation,Guided Conversation,Story telling ,Rhymes and Songs ,Free Play ,Art and craft,Gross Motor development,Cognitive development,Emergent Writing,Emergent Reading,Environmental awareness,1.Safe ,2. Clean ,3.Boundary wall,4. Infrastructure for children with special needs,5. Safety level of the building ,6. Playground ,7. Inculcates healthy habits in children (regular hygiene check, washing hands before meals and after toilet ,8. Toileting Schedule,9. Hygiene practices,10.Availability and use of clean water for drinking,11. Personal cleanliness Practices,12. Space allocated for class,13. Ventilation and lighting,14. Availability of space for conducting the indoor activities properly,15. Availability of space for conducting the outdoor activities properly,16.. Child friendly furniture,17. Clean classroom,18. Toilet ,19.Teacher –pupil ratio,20. Homogenous classroom,21. Health check-up for children,22.Health check-up for teachers or helper,23. Availability of first-aid facilities,24. Learning material for activity-based teaching ,25. Blackboard for children,26. Activity books ,27. Picture books ,28. Manipulative/ Creative Learning material ,29. Sand play,30. Learning material for children with special needs ,31. Equipment for outdoor play ,32. Activity based corners  ,33. Print rich environment  ,34. Display of art prepared by children,35. Time-table display ,36. Seating arrangement to promote inclusion ,37. Individual planning for children with special needs ,38. Sensitive towards children with special needs,1. Teacher engages positively with child ,2. Child friendly behavior  ,3. Encourages interaction among children ,4. Teacher encourage children's questions,5. Receiving children on arrival  ,6. Uses positive reinforcement for children,7.  Responsive to children needs ,8.  Teacher treats all children equally and with respect, affection and care ,9. Efforts to break gender stereotypes ,10. Efforts to raise awareness of ethnic and religious diversity,11. Teacher Name,12. Gender,13. Age,14. Type of teacher,15. Total teaching experience,16. Total teacing experience in this pre-school,17. Educational Qualification,18. Did you receive any pre-service training ?,19. Did you receive any pre-service training in ECE?,20.  Languages spoken by the teacher (name),20. Languages spoken by the teacher (code),21. Did you receive any in-service training during the last academic year?,22. Is there a system for supervision of teachers in your school? ,23. What is the frequency of supervison visit?,24. How often do you meet with the parents?,25. Do you talk to parents regarding the progress of their children?,,,
23,B23,Bihar,1,Patna,AWC ,Near PHC,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,30,30,1,Mobashshir Danish,11/24/2022,9:30,2:00,Swati Amrit,6,2,2,2,1,1,2,1,3,3,1,1,2,1,2,1,2,1,1,1,2,4,1,1,4,1,2,2,2,2,2,2,2,2,1,1,2,3,3,2,2,1,3,4,4,3,3,2,1,1,1,1,2,1,1,0,NA,NA,2,2,2,2,3,2,NA,NA,NA,NA,Runa Kumari,2,2,1,1,1,3,2,1,Hindi,1,1,1,4,1,1,,,,,
24,B24,Bihar,1,Patna,AWC-148,North patel Nagar lal babu market,1,10:00:00,14:00:00,10:00:00,14:00:00,2,1,3,40,32,32,1,Chandan Kumar Chubey,11/22/2022,10:00,2:00,Swati Amrit,6,2,2,2,1,3,2,2,3,3,2,3,3,2,2,4,3,2,2,1,4,3,4,1,1,1,2,1,2,2,1,4,2,2,2,1,1,3,2,1,1,1,3,2,2,2,2,2,1,1,1,2,2,1,1,0,NA,NA,2,2,3,1,2,3,NA,NA,NA,NA,Kumari Sarita,2,4,1,2,2,4,1,2,Hindi,1,1,1,4,1,1,,,,,
25,B25,Bihar,1,Patna,Orchid Pre School,New Pujabi Colony chitkora Near badashsa Agarbatti Factory,2,9:00:00,13:00:00,9:00:00,13:00:00,2,2,2,35,31,31,1,Chandan Kumar Chubey,11/30/2022,9:00,1:00,Swati Amrit,7,2,4,4,4,2,4,4,4,4,4,3,4,4,2,4,4,4,3,4,4,4,4,1,4,1,4,2,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,4,3,1,1,3,3,4,4,4,0,NA,NA,4,4,4,4,4,3,NA,NA,NA,NA,Kiran Gutam,2,4,1,1,1,5,2,1,Hindi,1,2,1,7,4,1,,,,,
26,B26,Bihar,1,Patna,St. Xaviier public school,East patal nagar near Gandhi murti,2,8:00:00,11:45:00,8:00:00,11:45:00,1,1,2,30,25,25,1,Mobashshir Danish,11/30/2022,8:00,11:45,Swati Amrit,6,4,4,4,4,4,4,4,4,4,4,1,4,1,4,4,4,4,4,1,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,3,1,1,4,3,4,4,4,0,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,Nutan,2,5,1,4,2,4,2,1,Hindi,1,2,1,1,3,1,,,,,
27,B27,Bihar,1,Patna,Alphabat Ptivate Pre School,Near Pension Bhawan,2,9:00:00,12:30:00,9:00:00,12:30:00,2,1,2,15,15,15,1,Mobashshir Danish,11/20/2022,9:00,12:30,Swati Amrit,11,4,3,4,4,4,3,4,4,4,4,1,4,4,4,4,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,1,1,4,4,4,3,3,0,NA,NA,4,4,4,4,4,4,NA,NA,4,NA,Manjari Kumari,2,2,9,1,1,4,3,1,Hindi,1,2,1,2,1,1,,,,,
28,B28,Bihar,1,Patna,Shanti Junior pre school,Patliputer colony near CISF head Quarter,2,8:30:00,12:00:00,8:30:00,12:00:00,2,1,2,2,33,30,1,Mobashshir Danish,11/01/22,8:30,12:00,Swati Amrit,8,4,3,3,4,3,3,4,,4,3,,4,4,4,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,4,3,4,4,4,0,NA,NA,4,4,3,3,4,4,4,4,NA,NA,Meena Thakur,2,3,9,1,1,4,2,1,Hindi,1,2,1,3,1,1,,,,,
29,B29,Bihar,1,Patna,St.Louis :c School,Near Astha Suman ,2,9:00:00,12:30:00,9:00:00,12:30:00,1,1,2,35,30,30,1,Mobashshir Danish,11/22/2022,9:00,12:30,Swati Amrit,9,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,1,4,4,4,3,4,1,3,3,3,3,3,4,4,4,2,3,3,3,2,2,2,2,2,4,4,3,3,3,1,1,2,2,3,3,3,0,NA,NA,3,4,3,3,3,3,NA,NA,NA,NA,Veena,2,2,9,1,1,4,2,1,Hindi,1,2,1,4,1,1,,,,,
30,B30,Bihar,1,Gaya,Sansakar Bhart Public school,Rukunpur guraru ,2,8:00:00,13:30:00,8:00:00,13:30:00,1,1,1,27,24,24,1,Sabhajeet Kumar,12/06/22,8:00,1:30,Swati Amrit,10,4,4,4,4,4,3,4,4,1,1,1,4,1,1,1,1,1,1,1,4,4,1,1,4,1,1,2,2,2,1,2,3,1,1,4,4,3,4,3,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,0,NA,NA,1,4,1,2,1,1,NA,4,NA,NA,Sumant Kumar,1,2,2,1,1,3,1,1,Hindi,1,2,2,9,4,1,,,,,
31,B31,Bihar,1,Gaya,kids play school,kids play school,2,9:00:00,1:00:00,9:00:00,13:00:00,1,1,1,70,65,65,1,Sabhajeet Kumar,12/05/22,9:00,1:00,Swati Amrit,6,4,4,4,4,4,3,4,4,1,1,1,4,1,1,1,1,1,1,1,3,4,1,1,4,1,1,2,2,2,1,2,3,1,1,4,4,3,4,3,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,NA,4,NA,NA,Puja Kumari,2,1,2,1,1,3,1,1,Hindi,1,2,2,1,4,1,,,,,
32,B32,Bihar,1,Gaya,Viddiya Vikas Public school,Bhora bigha bhusanda,2,9:00:00,12:00:00,9:00:00,12:00:00,1,1,1,35,35,35,1,Sabhajeet Kumar,12/03/22,9:00,12:00,Swati Amrit,5,4,4,4,4,4,4,3,4,1,1,1,4,1,1,1,1,1,1,1,4,4,1,1,4,1,1,2,2,2,1,2,3,2,2,4,4,3,3,4,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,0,NA,NA,1,4,1,3,2,2,NA,4,NA,NA,Nelotima Kumari,2,2,1,1,1,4,1,1,Hindi,1,1,2,2,4,1,,,,,
